OverallQual,GrLivArea,GarageCars,YearBuilt,TotalBsmtSF,1stFlrSF,2ndFlrSF
0.5555555555555556,0.25263752825923136,0.5,0.9202898550724647,0.13764320785597384,0.12804038549793484,0.3791767554479419
0.4444444444444445,0.09080633006782216,0.25,0.7971014492753632,0.1335515548281506,0.11060119320789352,0.0
0.5555555555555556,0.15862848530519968,0.5,0.4492753623188417,0.1335515548281506,0.11060119320789352,0.0
0.4444444444444445,0.1490203466465712,0.5,0.9710144927536231,0.18412438625204583,0.1815052776502983,0.0
0.5555555555555556,0.33025621703089675,0.5,0.6811594202898554,0.13617021276595745,0.14731528223955942,0.5380145278450363
0.3333333333333333,0.14958553127354937,0.5,0.3478260869565215,0.11423895253682488,0.08352455254703992,0.20823244552058112
0.6666666666666665,0.21778447626224567,0.5,0.9565217391304355,0.12896890343698855,0.10417622762735199,0.33995157384987895
0.7777777777777777,0.14204973624717407,0.5,0.8260869565217401,0.17577741407528644,0.17301514456172556,0.0
0.5555555555555556,0.1352675207234363,0.5,0.7173913043478262,0.16530278232405893,0.16475447452960074,0.0
0.6666666666666665,0.24453654860587792,0.5,0.9130434782608692,0.15302782324058922,0.1424965580541533,0.3278450363196126
0.6666666666666665,0.1808590806330068,0.5,0.9710144927536231,0.21047463175122752,0.2202845341899954,0.0
0.4444444444444445,0.09250188394875658,0.5,0.6014492753623184,0.13502454991816695,0.11266636071592473,0.0
0.5555555555555556,0.28522984174830446,0.5,0.36956521739130466,0.13633387888707038,0.16498393758604865,0.38498789346246975
0.5555555555555556,0.3012434061793519,0.75,0.9782608695652169,0.1463175122749591,0.12849931161083064,0.5031476997578692
0.5555555555555556,0.16654107008289373,0.25,0.72463768115942,0.10998363338788872,0.07755851307939421,0.26440677966101694
0.5555555555555556,0.21665410700828935,0.5,0.9637681159420293,0.1281505728314239,0.10302891234511244,0.3394673123486683
0.6666666666666665,0.43443858327053503,1.0,0.05797101449275388,0.20294599018003276,0.22625057365764115,0.639225181598063
0.2222222222222222,0.23944988696307462,0.25,0.3115942028985508,0.1374795417348609,0.1161083065626434,0.3704600484261501
0.6666666666666665,0.2057272042200452,0.25,0.3333333333333339,0.14926350245499184,0.13262964662689306,0.24891041162227603
0.4444444444444445,0.3500376789751319,0.25,0.4855072463768124,0.11783960720130934,0.16475447452960074,0.3486682808716707
0.5555555555555556,0.16861341371514696,0.5,0.7826086956521738,0.09181669394435353,0.05208811381367601,0.32348668280871673
